喉 候
不良 乖蹇
昂 燃
邮费 邮资
散乐 百戏
戛玉 璞玉
好像 相同
水气 热气
东奔西撞 东碰西撞
服装 穿着
差事 空匮
桩 码
拖延 缓期
单刀直入 对症下药
圆活 灵活
如期 守时
查核 清点
啴啴 穆穆
忙绿 辛劳
完结 结论
查抄 袭击
同气相求 臭味相投
甄选 锄头
尧 瑶
势头 头势
粤犬吠雪 蜀犬吠日
枯瘦 瘦削
好玩儿 有意思
复生 追还
关碍 牵绊
一筹莫展 手足无措
古迹 奇迹
人浮于事 僧多粥少
管道 道路
校验 盘察
不辞劳苦 任劳任怨
损伤 祸害
殊别 殊致
等第 评卷
暗杀 谋杀
匠伯 金铺
地脚 广坐
孱弱 恹恹
琛瑞 璧玉
爱抚 爱护
查阅 计议
开动 打动
规矩 轨则
失火 施放
刑余 阉奴
仍是 尚且
沉闷 神伤
取便 弘扬
免除 避免
见机行事 见风转舵
形色 形貌
保卫 捍卫
依托 扶翼
沘 溠
罩子 蒙巾
丈夫 先生
可以 能够
相反相成 相得益彰
挟持 篡窃
姥姥 姥娘
失 挫
走漏 透露
轻装简从 轻车简从
富人 财主
探视 探访
风环雨鬓 风鬟雨鬓
洗 淘
仔 儿
力戒 谨防
穿戴 衣服
会所 棍棒
抚育 熏染
根源 渊源
佑助 辅助
撑 留
愈加 益发
炯 皓
公共 国有
做派 行动
统领 都督
口才 帮子
屏除 斥罢
助产婆 接生婆
孟母 懜懂
讷讷 迟缓
发问 质问
拜望 调查
放走 施放
眉宇 观念
拔白 皤然
坐地 法坐
养成 形状
痛不欲生 肝肠寸断
上涨 飞扬
箱 胸
对答 酬对
思情 错过
出店 店子
钩努 钩赜
腰包 银包
乐岁 稔年
稽颡 顿首
呈现 显现
慰劳 赏脸
幽冥 默读
中度 中等
原起 根儿
时限 期限
引导 攻略
劝和 转达
画面 诬栽
泅泳 洑水
发散 驱散
直率 耿直
奉献 捐献
抄掠 攻掠
群 群
埏 疆
优美 纤美
粗大 青青
胡搅 胡缠
提倡 迁次
推诿 败落
叨唠 唠叨
妥当 定当
兵营 虎帐
地窖 窟室
火辣 热门
微弱 淡淡
去世 长逝
坠落 陡跌
忽悠 晃悠
人物 气韵
赠送 馈遗
不消得 没不煞
不快 减缓
编写 编著
比踪 比辑
掳掠 真赃
真切 真诚
厌弃 摈斥
籍 纪
繁华 闹忙
刻写 陈说
重大 重要
乞丐 乞儿
两岸 双边
崇尚 景仰
场合 局势
破釜沉舟 背城借一
诬害 谋害
兀然 猛然
女子 封闭
息息相关 患难与共
历尽艰辛 饱经忧患
行销 销售
恒常 经常
侧近 附近
描 钞
深长 邃密
勾勒 大纲
脱 落
万古流芳 名垂青史
恣肆 肆意
开始 起点
站立 轧辊
居奇 投契
料持 部署
为政 统辖
岩龉 罨盂
饧涩 骍牡
抬头 昂首
显然 清楚
失和 疏远
威信 威风
百顺百依 言听计从
伟大 浩大
堤岸 海堤
囫囵 竣事
傥荡 轶荡
侪 同
长关 长夫
违约 食言
为非作歹 横行无忌
确定 落实
波折 转折
不妨 可能
契约 字据
料 肥
跑了和尚跑不了寺 跑了和尚跑不了庙
主旨 旨趣
舛讹 舛错
呆滞 结巴
摆台 肴馔
崭然 锷锷
发淤 流送
实物 现实
只 独
悍戾 粗暴
尊崇 爱崇
全科 成全
垂垂 输钱
几至 随便
寂天寞地 无声无息
择 挑
拷 挝
条支 部门
时值 时气
抗拒 抵拒
租赁 租金
笔调 调子
中伤 谮言
喉 膛
思考 思量
羸弱 酥软
板块 阻滞
瞥然 陡然
挥霍无度 铺张浪费
器宇轩昂 精神抖擞
热心 热沈
都头 魁首
小帽 火帽
戴罪立功 立功赎罪
侵吞 侵略
备案 记下
斛觫 豰觫
照片 相片
当儿 当口
宠 爱
幽忧 苦恼
紧切 紧急
博学多闻 博洽多闻
不光 不单
审察 钩稽
余暇 悠闲
参加 沟通
亲睦 和蔼
令人作呕 楚楚可怜
哼唱 嗡嗡
体念 身板
点召 称呼
孑孑 戋戋
原案 原配
寥若晨星 绝无仅有
勘验 研考
妄言 空话
凹凸 崎岖
冒火 发火
寂历 静心
承袭 认领
保卫 戍卫
偏护 回护
碰面 遇到
名望 身分
作合 牵合
兴味索然 心灰意冷
推却 消索
不痛不痒 半间不界
料及 预测
吩 纪
战栗 震动
恣肆 纵脱
商户 坚贞
忒 挺
极 煞
作兴 庶几
徘徊 徬徨
称颂 表扬
团圆 重逢
关键 症结
竖立 货摊
跌交 降下
捷 速
意懒心慵 意懒心灰
合手 撷取
同侪 窥探
提携 搘拄
亏损 失掉
专心一志 抟心壹志
球篮 篓子
夹 羼
失望 颓废
硷蓬 碱蓬
急派 着忙
打扰 麻烦
作茧自缚 故步自封
刻画 描摹
坚劲 果决
瑰异 精彩
演算 盘算
藉词 辩辞
一家 阖户
制作 建造
发射 罢退
乡贤祠 祆神庙
结束 订立
卓绝 非凡
交给 助产
幸运 运道
凝重 威严
原先 最初
变更 更迭
入地无门 进退两难
卓著 超伦
为虎作伥 率兽食人
服侍 调理
创作 滋生
谷都 骨董
漏洞 破绽
呸 唾
耒 耩
开拓 打造
侵占 侵扰
感念 牵动
共犯 帮凶
不知所措 惊慌失措
精练 精辟
器械 武器
守财奴 铁公鸡
暐晔 玮烨
接事 确当
搬移 迁建
及时 应时
推测 猜测
恐 惮
一何 何以
兢兢 恪慎
争斗 撑拒
回信 复书
人纪 纪纲
包荒 隐秘
名著 杰作
拘泥 贪恋
眼神 视力
健旺 茁壮
妊娠 怀孕
嗣岁 过年
了结 塌秧
碱 脚
年底 年终
朴质 质朴
本质 素质
到职 就任
去 徂
佣人 家丁
圣殿 神庙
傍人篱壁 傍人篱落
木王 连蜷
之罘 伏贴
定案 结论
刻记 铭记
不世 优秀
哀艳 忧忡
恼悔 悔吝
半推半就 欲就还推
合同 定约
恂 悃
娜 秀
机智 机灵
借取 借读
课间 豁子
崩摧 破碎
饿虎吞羊 饿虎扑食
均一 平坦
主张 抱持
戚戚 骨肉
推寻 核对
卓见 卓识
拿 揪
募集 拔高
谐戏 闹腾
战战兢兢 敬小慎微
强宗 精壮
真切 至诚
朱 洙
土空 空身
日旰忘食 飞谋荐谤
谑谑 轩渠
内行 大方
哺育 抚养
金钱 钱钞
报告 讲述
应接 迎接
温厚 衣冠
兵衅 饥荒
书简 函牍
举动 着数
敬佩 爱慕
因陋就简 得过且过
玄珠 轩翥
脱身 逃狱
昵 熟
倞 迢
目空一切 骄傲自大
作风 法门
判若鸿沟 大相径庭
劳累 委靡
凶险 吃紧
不由得 忍不住
彳亍 流布
但 才
缄口不言 道路以目
叱骂 谩骂
特别 特地
松弛 飘然
叮问 试探
打夯 装填
平作 平展
方法 道路
寻 索
果皮 脱皮
快手 迟速
愉快 爽畅
万分感慨 百感交集
击柝 打更
稳固 骨直
忽哨 鼻儿
哀感顽艳 哀而不伤
混号 混名
劫持 绑票
二八年华 豆蔻年华
掩盖 藏匿
声誉 荣誉
倒败 哗啦
意想 预见
名望 荣誉
校验 检校
贯气 造物
炯炯 聪慧
古人 抛躲
聆聆 过听
湔 溠
牵记 纪念
外面 皮面
威迫 挟制
公余 暇景
操切 轻率
步履 步行
凌驾 赶过
制造 建设
玩意 饰演
敬慕 爱慕
权 韪
巴望 憧憬
室人 小君
锁子 闭锁
模模糊糊 隐隐约约
浅淡 轻松
对照 遏止
即刻 立刻
卑 荤
入手 得到
极其 要死
人山人海 熙来攘往
仡仡 颀长
深切 清廉
一牛吼地 一牛鸣地
飞升 飞扬
溏 潴
以为 参酌
调停 转达
泥首 跪拜
外来 舶来
反响 反应
游刃有余 运斤成风
护套 鞘子
伤怀 心酸
兆头 朕兆
主张 阵地
主儿 主子
挑动 逗哏
厉 礼
拌嘴 舛午
子弟 小辈
束 疏
催讨 追讨
崖略 要义
惟有 祇有
戏法 把戏
主事 操持
勾连 连带
可以 容许
昌明 苍苍
特惠 良好
安分 本分
体貌 显现
忖 炒
一同 一块
劫难 灾害
圭臬 圭表
处身 正身
离黍 粘糊
炒 辞
指挥 率领
完婚 成婚
文武全才 能文能武
劝戒 譬喻
风息 风癞
吐花 心花
盱阋 蹙额
无恶不作 暴戾恣睢
光滑 腻滑
画供 铭感
治理 节制
克制 克服
展现 露头
支吾其辞 隐约其辞
讴歌 颂扬
品牌 商标
棼 茫
乖紊 谩好
全副 完毕
战略 手段
回应 答理
柔润 滋润
卧床 被窝
贫 陋
松垮 松软
稻子 稻米
进展 进步
地点 所在
持续 接连
弗及 朽败
断缣寸纸 断缣尺楮
胡支 鹄峙
污秽 龌龊
体例 方式
汗如雨下 汗流浃背
俭朴 简扑
疏狂 骀荡
倒败 崩倒
岸然 肃然
仃 伶
砣 碡
接贵攀高 趋炎附势
吟诵 呫哔
标格 骨头
截击 截夺
惨剧 遗祸
眉睫之内 迫在眉睫
血口喷人 诬蔑他人
教育 斯文
乐意 痛快
熏陶 陶冶
回返 送还
处境 状况
容纳 蕴含
居常 平居
壮大 扩编
参谒 探访
婀娜 翩翩
检 讯
峣 杲
作弊 行诈
开设 露天
差池 错误
决斗 格斗
打 演
光滑 平稳
十成 绝然
刚正 方正
委吏 玮丽
中落 面呈
爽朗 豁达
聚晤 觌面
抛荒 荒芜
愤怒 愤激
呼扇 扇对
承诺 答应
超过 领先
迸发 迸涌
忧心 担心
开革 火灾
停当 原心
丧尽天良 豺狼成性
傒落 遗弃
巴望 盼望
硬棒 笞鞭
倒灌 倾注
动手 发端
吟诵 诵咏
名堂 花活
了清 沉淀
叫嚣 喧嚣
各人 大家
光亮 昭灼
什么 任啥
尴尬 惭惶
做事 行止
位子 停放
捶胸跌脚 搥胸跌足
神主 老天
仲由 已矣
清雅 飘举
怆悢 悲伤
纵出 纵踊
杆儿 杆子
场面 状况
将 服
欲望 食量
制服 降伏
豪阔 阔绰
心膂 忧劳
动弹 开动
坟地 陵寝
偏袒 偏颇
反背 溯回
总揽 独霸
小使 竖直
帆布 画布
修建 营造
灾害 苦难
场景 景致
制造 成就
主任 议长
查考 检点
估计 猜想
去掉 引出
体面 面朝
气息 耳门
公路 路途
捕获 查封
粹 素
洋洋 淼淼
名作 杰作
保护 驻守
交关 贼死
亏折 赔本
保护色 遮眼法
司仪 赞礼
壶浆塞道 横科暴敛
不徇私情 大义灭亲
体味 趣味
仇家 对头
故乡 梓乡
光明 皓然
吹大法螺 大吹法螺
真纯 笃实
早晚 晨夕
厮挺 襆被
丢弃 闲弃
爽亮 迸脆
种 莳
佛口蛇心 蜜口剑腹
宽宥 鉴原
朱家 朱文
窥伺 窥探
仪观 面貌
回心转意 意转心回
些小 稍许
下贱 沉凝
推求 确定
密实 达成
作假 装假
光荣 尊重
敫 炅
愉快 欢欣
前情 来头
上官 头儿
宁 恬
收拾 驮运
渊 窈
一头雾水 糊里糊涂
按理 照理
萧娘 马子
技艺 本事
暂且 权时
姊丈 姊夫
建设 扶植
华丽 美艳
比偶 洒家
土匪 毛子
官腔 耍人
讥刺 讽刺
企待 憧憬
玛 瑙
立时 霍然
奄 迟
仪表 貌相
不动产 房地产
丧柩 殡棺
倚歌 夷歌
亘 由
忖念 权衡
名满天下 天下闻名
红封 红铅
悲哀 衰颓
停歇 平息
物议沸腾 议论纷纷
阿公 阿爹
函牍 雁帛
垂垂 逐渐
影区 荫庇
含 嗦
潜力 潜在
俯首听命 桀骜不驯
气化 逸散
条支 枝条
坐镇 督导
当今 潮流
屋子 房屋
胡同 闾巷
厘定 管定
系 绹
产业 地产
毕竟 结果
柳绿桃红 鸟语花香
允许 准许
好心 意思
仁义 温雅
光景 条件
督导 综理
经由 途经
宁静 安闲
六神无主 魂飞天外
尖利 锐利
执教 讲书
不爽 弗豫
悭吝 贫气
不巧 吃亏
发头 鬃发
报修 整补
告白 灵利
态度 风度
弄死 烹宰
作速 加紧
回神 神会
基肥 底肥
挨 整
势头 态势
怯怯 畏惧
找寻 谋求
侮骂 讪骂
一字千金 惜墨如金
表率 雏型
右姓 右相
洗刷 蠲涤
低劣 差劲
倚畀 倚靠
陀螺 顶尖
睪牢 睾牢
仲由 幼子
气体 瓦斯
参考 评议
杂念 杂错
受罪 煎熬
修饰 刮摩
路头 路途
秘密 隐瞒
浸化 浸取
涵义 语意
谰言 赃埋
四海为家 断梗飘萍
宽阔 浓度
哀 悲
枯燥乏味 枯燥无味
不分轩轾 轩轾不分
介怀 身心
丧梆 惹恼
又且 并合
刁民 成事
松泛 飘然
守护 据守
心折 推尊
卧底 隐藏
非同寻常 非同小可
与世推移 与时偕行
大名鼎鼎 鼎鼎有名
翻覆 颠覆
杜塞 阻拦
奴子 贻厥
女主 清绮
韬戈偃武 韬戈卷甲
争斗 对仗
文据 至纫
五湖四海 四面八方
排山倒海 铺天盖地
垯 疙
平静 闲静
卖官贩爵 卖官鬻爵
寝 息
杜 框
仔肩 冲击
匪面命之 苦口婆心
供养 提及
舍己为人 舍己救人
怎么 怎么
禁制 驾驭
取笑 戏弄
措手 经手
丹诚 贞节
歌子 鸣声
仰事俯畜 仰事俯育
捍 敌
特异 独特
打扮 着装
好处 盈利
允诺 应承
依旧 迄今
云徂 云鹣
分拨 派别
这搭 这里
撩动 翻搅
倜 漫
指授 教诲
深 老
教义 教法
对手 政敌
品等 等第
情知 排尾
大约 容或
和平 清净
新闻 音讯
外间 外面
告诉 招呼
洁白 雪白
叛党 故障
上头 面貌
三刑 三命
车削 驾云
亡羊补牢 收之桑榆
尊重 爱戴
压痛 温情
扶持 扶掖
为文 揽笔
夷则 苡仁
羁绊 阻挠
怀抱 疼惜
弱 窳
金龠 锁匙
拯救 补救
悟性 感知
诡谲 调皮
余存 权衡
坟茔 墓葬
一定 恒定
规避 避讳
仙境 天堂
正面 爽亮
祭礼 膜拜
肩 膊
慕顾 木觚
浪荡 闲荡
响彻云际 响彻云霄
公正 唯独
仆夫 家仆
起先 起首
焦头烂额 破头烂额
自谦 谦逊
真切 诚信
克制 制服
妙药 魔道
伤悼 哀伤
差不多 差不离
深重 玄远
私相授受 秘密交易
服侍 管待
了得 知悉
悒怏 苦闷
地方 空位
字纸 状纸
分身 身分
燃 筹
恹恹 荏弱
品等 竹寺
拖后腿 拖尾巴
俯观 俯览
匮 缺
妨害 滞碍
喑哑 干涩
征集 汇总
自身难保 自顾不暇
好儿 恰切
弯子 掉向
管自 缸管
巡视 巡逻
好心 欲念
权责 正理
暮霭 沆瀣
真义 真谛
决心 心志
呼之欲出 跃然纸上
华甸 资本
克服 鉴察
举例发凡 发凡举例
不识大体 鼠目寸光
不犹 不衷
倍儿 好生
交易 往还
夺魁 缴获
函使 邮差
经年累月 齐人好猎
主婚 心口
休歇 歇手
一针见血 提纲挈领
一屁股 大不了
宝物 珍惜
垂泣 涕泣
定例 常务
抚摩 摩挲
恒常 时刻
峻酷 苛刻
牂 罘
了结 降下
概论 调查
残暴 残酷
忽视 略去
捐选 甄拔
简任 老耆
提取 采摘
原因 渊源
型式 调门
处女 童身
担惊 昭著
聒耳 震耳
灵俏 灵透
民人 民气
全部 系数
皎 纨
大嫂 姨妹
提挈 策应
困惑 猜疑
告诉 告送
以后 既而
印合 御玺
技巧 本事
含垢包羞 含垢忍辱
风范 风采
于今 此刻
禁制 管束
卫 扼
炽 着
厌弃 排斥
打动 走子
不劳而获 坐收渔利
厚重 庄严
文君新寡 文君早寡
成 能
由头 饰辞
大餐 饭局
期盼 期许
壅闭 窒塞
孤寒 小气
推进 鼓动
月旦 胆汁
拾摭 采摘
同乡 同亲
富有 满腔
家烦宅乱 家翻宅乱
去世 圆寂
嚼说 抱怨
受业 看书
悉索 榨取
人像 身材
副手 辅佐
笑料 臀部
天路 日昼
孙儿 孙子
投机取巧 投机钻营
三八 痴騃
恋念 翘足
哄骗 诈骗
改革 革新
部分 部署
谈吐 辞吐
放黜 流放
吐露 诉述
养 撑
内监 刑臣
垫背 替身
施展 阐发
发开 空廓
书启 书札
之类 等等
尸位素餐 饱食终日
楼层 楼板
感人肺肝 感深肺腑
尾声 末梢
檐楣 欂栌
头脑 头领
平和 软款
不平 羊工
邪祟 鬼蜮
诺诺连声 连声诺诺
屈卢 若敖
个头 块头
停办 停歇
屈从 服从
泱泱 深广
优伤 忧闷
作计 设施
不改其乐 自得其乐
三昧 奥秘
荒凉 落寞
昭节 艳阳
众所周知 家喻户晓
碾子 轧辊
来由 激起
侍役 侍者
存 背
不世 骄子
抢夺 掳掠
交纳 工资
沉痛 深奥
摘要 纲要
复制 复读
庸俗 猥琐
边沿 重影
境界 疆界
蚕食鲸吞 鲸吞蚕食
声威 颜面
不及 不若
耸 轩
公转 革命
好像 就像
地皮 地盘
匀净 匀调
瘠薄 硗埆
宏壮 宽广
匆促 匆忙
回去 过往
八不 八珍
疯人院 疯子院
邑邑 郁郁
效劳 服务
卑躬屈膝 奇耻大辱
崩殂 身故
誓言 领诺
渺茫 飘渺
启示 说穿
烧心 牵心
一无所知 洞察一切
蔼蔼 薨薨
开朗 明朗
家相 家行
佑翊 愉怡
尾 端
喧嚷 喧闹
着实 着然
标志 签名
失神 懊丧
坐以待旦 秉烛待旦
落空 降临
委任 指定
忉忉 悲喜
高昂 高贵
正经 竹马
言不由中 言不由衷
不久 少刻
笃么 笃思
扣 笼
动荡不安 风雨飘摇
乐业安居 安身乐业
瞬息 瞬间
实 淳
犬马 狗马
洪福齐天 福星高照
犯科 犯罪
末端 酒钱
包羞忍耻 包羞忍辱
瞭风 肝风
匮 廓
豺狼塞路 豺狼当涂
刹那间 转眼间
欺诳 蒙蔽
上宾 蹬腿
全体 系数
剀切 稳重
玩花招 耍手腕
